1,Oceanside Recycling Center,2880 Industry St,Oceanside,CA,92054,(760) 439-2824, 33.201127, -117.339203
2,rePLANET Recycling,3450 Marron Rd,Oceanside,CA,92056,(877) 737-5263, 33.179506, -117.297003
3,Quality Recycling,149 Nettleton Rd,Vista,CA,92083,(760) 724-3623, 33.188621, -117.281877
4,El Corazon Compost Facility,3210 Oceanside Blvd,Oceanside,CA,92056,(760) 439-9920, 33.204433, -117.326992
5,Maximum Recycling,430 Olive Ave,Vista,CA,92083,(760) 295-9618, 33.204759, -117.250573
