1,RECPolycrystylline,288,260,17.76
2,LGMonocrystylline,336,280,17.65
3,SuntechMonocrystylline,256,265,17.54
4,PowerFLEXThinFilm,1500,500,0.13
5,YingliPolycrystylline,183,260,20.91
6,SolariaMonocrystylline,529,355,19.47
